,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,x_kpca_rbf,y_kpca_rbf,cluster_kpca_rbf
72,Horeca,Other,4420,5139,2661,8872,1321,181,-0.11135435138412858,0.09607355497591494,3
73,Retail,Other,19899,5332,8713,8132,764,648,0.0008987162689018232,0.4094083190417784,3
74,Retail,Other,8190,6343,9794,1285,1901,1780,-0.010720820028169997,-0.26244056436794844,2
75,Horeca,Other,20398,1137,3,4407,3,975,-0.298801972844894,0.41653425249637893,3
76,Horeca,Other,717,3587,6532,7530,529,894,-0.1282246715305858,-0.046547088106978274,0
77,Retail,Other,12205,12697,28540,869,12034,1009,0.7923752448833207,0.007641589923587476,4
78,Horeca,Other,10766,1175,2067,2096,301,167,-0.40984981655016245,-0.006883271270861474,0
79,Horeca,Other,1640,3259,3655,868,1202,1653,-0.2610406538069767,-0.3184717675598497,0
80,Horeca,Other,7005,829,3009,430,610,529,-0.3779155808867271,-0.17308419907797257,0
81,Retail,Other,219,9540,14403,283,7818,156,0.5725819154133497,-0.4145797417023824,4
82,Retail,Other,10362,9232,11009,737,3537,2342,0.24022639466350448,-0.2448420655760991,2
83,Horeca,Other,20874,1563,1783,2320,550,772,-0.29618269339744857,0.33081418448807187,3
84,Retail,Other,11867,3327,4814,1178,3837,120,-0.1648772854952067,-0.14752191500710568,0
85,Retail,Other,16117,46197,92780,1026,40827,2944,0.38833667368322816,0.2562637349561333,1
86,Retail,Other,22925,73498,32114,987,20070,903,0.38843674479929274,0.25633930577870007,1
87,Horeca,Other,43265,5025,8117,6312,1579,14351,0.3948303497119399,0.2825635724817167,1
88,Horeca,Other,7864,542,4042,9735,165,46,-0.1416351099577709,0.24733068217591625,3
89,Horeca,Other,24904,3836,5330,3443,454,3178,-0.05385762013279198,0.4779438454720911,3
90,Horeca,Other,11405,596,1638,3347,69,360,-0.4136609279751092,0.07913795302740621,0
91,Horeca,Other,12754,2762,2530,8693,627,1117,-0.17362761022052556,0.3225087737341819,3
92,Retail,Other,9198,27472,32034,3232,18906,5130,0.5108182391595908,0.2552528225022173,1
93,Horeca,Other,11314,3090,2062,35009,71,2698,0.3900350151310964,0.2639131765015502,1
94,Retail,Other,5626,12220,11323,206,5038,244,0.4048812679722286,-0.37052455235944065,2
95,Horeca,Other,3,2920,6252,440,223,709,-0.24060060089851418,-0.3535239289116525,0
96,Retail,Other,23,2616,8118,145,3874,217,-0.028894103489517767,-0.443010644133465,2
97,Horeca,Other,403,254,610,774,54,63,-0.364145551892008,-0.22878674663581536,0
98,Horeca,Other,503,112,778,895,56,132,-0.36742690630912517,-0.22596087671538234,0
99,Horeca,Other,9658,2182,1909,5639,215,323,-0.3449825426219669,0.1079856453539184,3
100,Retail,Other,11594,7779,12144,3252,8035,3029,0.4811708315362792,-0.1490536429134609,4
101,Retail,Other,1420,10810,16267,1593,6766,1838,0.6231583558865991,-0.37777942194277014,4
102,Retail,Other,2932,6459,7677,2561,4573,1386,0.08900658922927407,-0.38479385363196394,2
103,Horeca,Other,56082,3504,8906,18028,1480,2498,0.4084907056239102,0.39607006738262623,1
104,Horeca,Other,14100,2132,3445,1336,1491,548,-0.3249884778073254,0.017460408486122174,0
105,Horeca,Other,15587,1014,3970,910,139,1378,-0.33552612925542163,0.1088106263190948,3
106,Retail,Other,1454,6337,10704,133,6830,1831,0.3559703986970573,-0.44541104285488686,2
107,Retail,Other,8797,10646,14886,2471,8969,1438,0.6569576061315464,-0.2530671506188995,4
108,Retail,Other,1531,8397,6981,247,2505,1236,0.03254596291349799,-0.42573239496644527,2
109,Retail,Other,1406,16729,28986,673,836,3,0.5670440133693175,-0.02176429721600266,4
110,Horeca,Other,11818,1648,1694,2276,169,1647,-0.38564182829911,0.05338208702174751,0
111,Retail,Other,12579,11114,17569,805,6457,1519,0.6149712853516303,-0.2154250151171675,4
112,Horeca,Other,19046,2770,2469,8853,483,2708,-0.065869622612534,0.5015456168575969,3
113,Horeca,Other,14438,2295,1733,3220,585,1561,-0.3489118357948726,0.15647688408535798,3
114,Horeca,Other,18044,1080,2000,2555,118,1266,-0.34114728761642177,0.2651940618756576,3
115,Horeca,Other,11134,793,2988,2715,276,610,-0.401028575463783,0.025620159890378465,0
116,Horeca,Other,11173,2521,3355,1517,310,222,-0.37284411644167365,-0.04533140277986461,0
117,Horeca,Other,6990,3880,5380,1647,319,1160,-0.2976324734428259,-0.19250409541862676,0
118,Horeca,Other,20049,1891,2362,5343,411,933,-0.2559813286399119,0.4135922402946951,3
119,Horeca,Other,8258,2344,2147,3896,266,635,-0.38485704625799494,-0.017045820057282578,0
120,Horeca,Other,17160,1200,3412,2417,174,1136,-0.33821595682393507,0.21355761823079392,3
121,Horeca,Other,4020,3234,1498,2395,264,255,-0.3725792335888267,-0.18563089819244324,0
122,Horeca,Other,12212,201,245,1991,25,860,-0.42435483891612363,0.07877409271485164,0
123,Retail,Other,11170,10769,8814,2194,1976,143,0.09054443614693211,-0.1608983131166895,2
124,Horeca,Other,36050,1642,2961,4787,500,1621,0.06833101231458262,0.7353255086402102,1
125,Horeca,Other,76237,3473,7102,16538,778,918,0.40682300095776275,0.3174255981544435,1
126,Horeca,Other,19219,1840,1658,8195,349,483,-0.1688206194496749,0.47507160880095883,3
127,Retail,Other,21465,7243,10685,880,2386,2749,0.14505130547022527,0.15897498780264624,1
128,Horeca,Other,140,8847,3823,142,1062,3,-0.09016179496558382,-0.36456277820425975,2
129,Horeca,Other,42312,926,1510,1718,410,1819,0.16521177354728592,0.7019507615988393,1
130,Horeca,Other,7149,2428,699,6316,395,911,-0.31819281870118454,0.08791208283469466,0
131,Horeca,Other,2101,589,314,346,70,310,-0.37902412487450676,-0.2158708218497764,0
132,Horeca,Other,14903,2032,2479,576,955,328,-0.34171939430071546,0.045470609654344546,0
133,Horeca,Other,9434,1042,1235,436,256,396,-0.40600733912741077,-0.08040239432537231,0
134,Horeca,Other,7388,1882,2174,720,47,537,-0.39634337074922693,-0.14462575969882957,0
135,Horeca,Other,6300,1289,2591,1170,199,326,-0.39732774261838955,-0.16217998811174505,0
136,Horeca,Other,4625,8579,7030,4575,2447,1542,0.021893285183875736,-0.2159418420701768,2
137,Horeca,Other,3087,8080,8282,661,721,36,-0.05358515572264598,-0.35499016249635,2
138,Horeca,Other,13537,4257,5034,155,249,3271,-0.16553635977965067,0.023426381250420965,0
139,Horeca,Other,5387,4979,3343,825,637,929,-0.29050990777311375,-0.2537742241842663,0
140,Horeca,Other,17623,4280,7305,2279,960,2616,-0.12177803098212543,0.1656980331783356,3
141,Horeca,Other,30379,13252,5189,321,51,1450,0.1855100123851971,0.40623128824456267,1
142,Horeca,Other,37036,7152,8253,2995,20,3,0.16751582885839347,0.619805355010961,1
143,Horeca,Other,10405,1596,1096,8425,399,318,-0.22829519526764708,0.263050441582184,3
144,Horeca,Other,18827,3677,1988,118,516,201,-0.27765354263986103,0.16401730974887296,3
145,Retail,Other,22039,8384,34792,42,12591,4430,0.594726408134648,0.17396911873125814,4
146,Horeca,Other,7769,1936,2177,926,73,520,-0.3991324831147631,-0.13114476300919975,0
147,Horeca,Other,9203,3373,2707,1286,1082,526,-0.34674428424581066,-0.13486305936731835,0
148,Horeca,Other,5924,584,542,4052,283,434,-0.40473963080473135,-0.0310792891922342,0
149,Horeca,Other,31812,1433,1651,800,113,1440,-0.05783684899296547,0.5844110161095784,3
150,Horeca,Other,16225,1825,1765,853,170,1067,-0.35464333942147636,0.13638816960781563,3
151,Horeca,Other,1289,3328,2022,531,255,1774,-0.29870115365415084,-0.2764353609553242,0
152,Horeca,Other,18840,1371,3135,3001,352,184,-0.31788636739265785,0.27404579426174497,3
153,Horeca,Other,3463,9250,2368,779,302,1627,-0.13675359207538193,-0.25497388606505866,0
154,Horeca,Other,622,55,137,75,7,8,-0.35613790579555155,-0.22435907972860492,0
155,Retail,Other,1989,10690,19460,233,11577,2153,0.7953616515078543,-0.20293077559309636,4
156,Retail,Other,3830,5291,14855,317,6694,3182,0.4536909063417892,-0.3406775411225529,4
157,Horeca,Other,17773,1366,2474,3378,811,418,-0.32823928876946357,0.25212089059479265,3
158,Retail,Other,2861,6570,9618,930,4004,1682,0.13432392884255706,-0.4319449574513769,2
159,Retail,Other,355,7704,14682,398,8077,303,0.5496668663183775,-0.41815420001326065,4
160,Retail,Other,1725,3651,12822,824,4424,2157,0.19940845321190756,-0.41234200288990913,2
161,Horeca,Other,12434,540,283,1092,3,2233,-0.3684526872469833,0.07720964736390662,0
162,Horeca,Other,15177,2024,3810,2665,232,610,-0.3504243069439396,0.1344271369051962,3
163,Retail,Other,5531,15726,26870,2367,13726,446,0.7894216944204899,0.02952064434900371,4
164,Retail,Other,5224,7603,8584,2540,3674,238,0.06899318218503914,-0.34702569134458255,2
165,Retail,Other,15615,12653,19858,4425,7108,2379,0.672973025388296,-0.02787493938789647,4
166,Retail,Other,4822,6721,9170,993,4973,3637,0.24089310934810074,-0.3041651996597498,2
167,Horeca,Other,2926,3195,3268,405,1680,693,-0.27765704767529864,-0.32678668307864445,0
168,Horeca,Other,5809,735,803,1393,79,429,-0.42015757195594194,-0.13173918972187199,0
169,Horeca,Other,5414,717,2155,2399,69,750,-0.40977220212976356,-0.12434563292776148,0
170,Retail,Other,260,8675,13430,1116,7015,323,0.48723240523957534,-0.4421929823063668,4
171,Retail,Other,200,25862,19816,651,8773,6250,0.5923992699013437,0.14139220582110593,4
172,Horeca,Other,955,5479,6536,333,2840,707,-0.06706054380402106,-0.4412158744111223,2
173,Retail,Other,514,7677,19805,937,9836,716,0.7190963979951566,-0.2988829811507353,4
174,Horeca,Other,286,1208,5241,2515,153,1442,-0.2943706794120723,-0.25201412656183464,0
175,Retail,Other,2343,7845,11874,52,4196,1697,0.27234170237511884,-0.45215586696065213,2
176,Horeca,Other,45640,6958,6536,7368,1532,230,0.3102135041673314,0.6763598296580616,1
177,Horeca,Other,12759,7330,4533,1752,20,2631,-0.15279810966324003,0.016700804425632078,0
178,Horeca,Other,11002,7075,4945,1152,120,395,-0.22195267167867222,-0.10775353195881975,0
179,Horeca,Other,3157,4888,2500,4477,273,2165,-0.24829625537478112,-0.11197676401885336,0
180,Horeca,Other,12356,6036,8887,402,1382,2794,-0.02188813468983254,-0.10398787050332285,2
181,Horeca,Other,112151,29627,18148,16745,4948,8550,0.3883146155637447,0.2563015650100965,1
182,Horeca,Other,694,8533,10518,443,6907,156,0.39159309287403965,-0.4528884260766426,2
183,Horeca,Other,36847,43950,20170,36534,239,47943,0.38819980351389743,0.25613856847700717,1
184,Horeca,Other,327,918,4710,74,334,11,-0.2940053286966313,-0.3104933872602798,0
185,Horeca,Other,8170,6448,1139,2181,58,247,-0.3132298874445184,-0.10348108526814355,0
186,Horeca,Other,3009,521,854,3470,949,727,-0.37727290607756564,-0.13698342092036195,0
187,Horeca,Other,2438,8002,9819,6269,3459,3,0.13877582408038694,-0.20776928757393726,2
188,Retail,Other,8040,7639,11687,2758,6839,404,0.36735616391733283,-0.3094173373507577,2
189,Retail,Other,834,11577,11522,275,4027,1856,0.37704365907527915,-0.4185381093110787,2
190,Horeca,Other,16936,6250,1981,7332,118,64,-0.15615954702350848,0.35354819235948803,3
191,Horeca,Other,13624,295,1381,890,43,84,-0.39887281433396754,0.06623095846740663,0
192,Horeca,Other,5509,1461,2251,547,187,409,-0.3873001394851874,-0.19318298864178907,0
193,Retail,Other,180,3485,20292,959,5618,666,0.46187496650841303,-0.3536692578954007,4
194,Horeca,Other,7107,1012,2974,806,355,1142,-0.38210573673072507,-0.1512020748364305,0
195,Horeca,Other,17023,5139,5230,7888,330,1755,-0.09205758470871346,0.38445951088218994,3
196,Horeca,Lisbon,30624,7209,4897,18711,763,2876,0.36235038581581114,0.4739395532648167,1
197,Retail,Lisbon,2427,7097,10391,1127,4314,1468,0.19270487994514798,-0.44511110127623577,2
198,Horeca,Lisbon,11686,2154,6824,3527,592,697,-0.29114841812743053,0.013393887601179958,0
199,Horeca,Lisbon,9670,2280,2112,520,402,347,-0.38251706935634333,-0.10321657793792101,0
200,Retail,Lisbon,3067,13240,23127,3941,9959,731,0.8048675789894466,-0.14167098380226578,4
201,Retail,Lisbon,4484,14399,24708,3549,14235,1681,0.7933232157910513,0.015636247345397685,4
202,Horeca,Lisbon,25203,11487,9490,5065,284,6854,0.3334078602460833,0.38375452776533636,1
203,Horeca,Lisbon,583,685,2216,469,954,18,-0.32765898664681836,-0.28628597965631103,0
204,Horeca,Lisbon,1956,891,5226,1383,5,1328,-0.31921519557220673,-0.2532410824364382,0
205,Retail,Lisbon,1107,11711,23596,955,9265,710,0.8036887181868528,-0.21859328560352703,4
206,Horeca,Lisbon,6373,780,950,878,288,285,-0.4112585573437754,-0.14105782931902647,0
207,Retail,Lisbon,2541,4737,6089,2946,5316,120,0.023148151430314883,-0.3560255056172214,2
208,Horeca,Lisbon,1537,3748,5838,1859,3381,806,-0.12174651939146605,-0.3868296031328021,2
209,Retail,Lisbon,5550,12729,16767,864,12420,797,0.7807516033216433,-0.16776342743272793,4
210,Horeca,Lisbon,18567,1895,1393,1801,244,2100,-0.29842119345130863,0.26438603715793724,3
211,Retail,Lisbon,12119,28326,39694,4736,19410,2870,0.4825972791337725,0.2648276994777209,1
212,Horeca,Lisbon,7291,1012,2062,1291,240,1775,-0.38179715743983494,-0.10602971176216884,0
213,Horeca,Lisbon,3317,6602,6861,1329,3961,1215,0.02826683948738855,-0.4069530932577929,2
214,Retail,Lisbon,2362,6551,11364,913,5957,791,0.3018172791715156,-0.457028499659173,2
215,Horeca,Lisbon,2806,10765,15538,1374,5828,2388,0.5637770712241393,-0.3665393497305286,4
216,Retail,Lisbon,2532,16599,36486,179,13308,674,0.6823226381255039,0.13431704338982817,4
217,Horeca,Lisbon,18044,1475,2046,2532,130,1158,-0.33987444202615846,0.2589104696457053,3
218,Retail,Lisbon,18,7504,15205,1285,4797,6372,0.45554840002656455,-0.11542313405861267,4
219,Horeca,Lisbon,4155,367,1390,2306,86,130,-0.408825222013195,-0.14165412140723366,0
220,Horeca,Lisbon,14755,899,1382,1765,56,749,-0.39606144530802484,0.12925247831097778,3
221,Horeca,Lisbon,5396,7503,10646,91,4167,239,0.1794586974204929,-0.41660854245867557,2
222,Horeca,Lisbon,5041,1115,2856,7496,256,375,-0.2595294414928263,0.08869134592252048,3
223,Retail,Lisbon,2790,2527,5265,5612,788,1360,-0.23836644143967836,-0.10266885470444792,0
224,Horeca,Lisbon,7274,659,1499,784,70,659,-0.41341484621250574,-0.12003576570669254,0
225,Horeca,Lisbon,12680,3243,4157,660,761,786,-0.3153234149337613,-0.049443834641386596,0
226,Retail,Lisbon,20782,5921,9212,1759,2568,1553,0.02631257987909875,0.15858092995298412,3
227,Horeca,Lisbon,4042,2204,1563,2286,263,689,-0.38887099456202323,-0.17749864315925787,0
228,Horeca,Lisbon,1869,577,572,950,4762,203,-0.1875473219578187,-0.28093675916734767,0
229,Horeca,Lisbon,8656,2746,2501,6845,694,980,-0.27129754197651945,0.12621155630681685,3
230,Retail,Lisbon,11072,5989,5615,8321,955,2137,-0.05263029424140273,0.22245097841538874,3
231,Horeca,Lisbon,2344,10678,3828,1439,1566,490,-0.027734641124453886,-0.315778926245355,2
232,Horeca,Lisbon,25962,1780,3838,638,284,834,-0.16974264318817034,0.4199138339060083,3
233,Horeca,Lisbon,964,4984,3316,937,409,7,-0.26566468333300797,-0.3221433667152869,0
234,Horeca,Lisbon,15603,2703,3833,4260,325,2563,-0.24753433848759798,0.23962082007586955,3
235,Horeca,Lisbon,1838,6380,2824,1218,1216,295,-0.21978412290426363,-0.3286661864263627,0
236,Horeca,Lisbon,8635,820,3047,2312,415,225,-0.4016818557092005,-0.07035311448754593,0
237,Horeca,Lisbon,18692,3838,593,4634,28,1215,-0.27968324696533803,0.3564207338802707,3
238,Horeca,Lisbon,7363,475,585,1112,72,216,-0.4239632649068004,-0.09599618829119427,0
239,Horeca,Lisbon,47493,2567,3779,5243,828,2253,0.2857571608953512,0.7247260329217596,1
240,Horeca,Lisbon,22096,3575,7041,11422,343,2564,0.11831277831945779,0.5631274838825187,1
241,Horeca,Lisbon,24929,1801,2475,2216,412,1047,-0.20941675695844164,0.4534930908895605,3
242,Horeca,Lisbon,18226,659,2914,3752,586,578,-0.322083803129036,0.2907315942700845,3
243,Horeca,Lisbon,11210,3576,5119,561,1682,2398,-0.2022604787021674,-0.10490391868740502,0
244,Horeca,Lisbon,6202,7775,10817,1183,3143,1970,0.1552159436674894,-0.3456917103759868,2
245,Retail,Lisbon,3062,6154,13916,230,8933,2784,0.5547240543368975,-0.3343174832850533,4
246,Horeca,Lisbon,8885,2428,1777,1777,430,610,-0.398066145634727,-0.08572401575893161,0
247,Horeca,Lisbon,13569,346,489,2077,44,659,-0.4156248975924335,0.11627520898098707,3
248,Horeca,Lisbon,15671,5279,2406,559,562,572,-0.278018171659775,0.05471675252047326,0
249,Horeca,Lisbon,8040,3795,2070,6340,918,291,-0.27595818162726565,0.06616679216806363,0
250,Horeca,Lisbon,3191,1993,1799,1730,234,710,-0.3813460649723932,-0.21236965236679237,0
251,Retail,Lisbon,6134,23133,33586,6746,18594,5121,0.5198331683050442,0.24797078281091542,1
252,Horeca,Lisbon,6623,1860,4740,7683,205,1693,-0.20505854327691656,0.1285426341652338,3
253,Horeca,Lisbon,29526,7961,16966,432,363,1391,0.2675738247659642,0.33616748512069605,1
254,Horeca,Lisbon,10379,17972,4748,4686,1547,3265,0.3041446964083771,0.06877205850171811,1
255,Horeca,Lisbon,31614,489,1495,3242,111,615,-0.07754402837795044,0.6389873371305029,3
256,Horeca,Lisbon,11092,5008,5249,453,392,373,-0.2654336434964499,-0.12555097644843316,0
257,Horeca,Lisbon,8475,1931,1883,5004,3593,987,-0.2348080214109312,-0.022826736953050965,0
258,Horeca,Lisbon,56083,4563,2124,6422,730,3321,0.37758291119938514,0.6033152012679044,1
259,Horeca,Lisbon,53205,4959,7336,3012,967,818,0.34571099029226127,0.6348102604496024,1
260,Horeca,Lisbon,9193,4885,2157,327,780,548,-0.3132597308191735,-0.157258081584832,0
261,Horeca,Lisbon,7858,1110,1094,6818,49,287,-0.31645711151871164,0.13895899411569165,3
262,Horeca,Lisbon,23257,1372,1677,982,429,655,-0.25159776129934625,0.36231280968627055,3
263,Horeca,Lisbon,2153,1115,6684,4324,2894,411,-0.17696451432544863,-0.2347867062545306,0
264,Retail,Lisbon,1073,9679,15445,61,5980,1265,0.5323016278035859,-0.43633362240731877,4
265,Horeca,Lisbon,5909,23527,13699,10155,830,3636,0.45857523613170775,0.1904982235375815,1
266,Retail,Lisbon,572,9763,22182,2221,4882,2563,0.6284571456252733,-0.2732383381151283,4
267,Horeca,Lisbon,20893,1222,2576,3975,737,3628,-0.14260287781261424,0.4126081107217912,3
268,Retail,Lisbon,11908,8053,19847,1069,6374,698,0.5784450537863962,-0.22551686473226357,4
269,Horeca,Lisbon,15218,258,1138,2516,333,204,-0.3919039058497985,0.1664164069870922,3
270,Horeca,Lisbon,4720,1032,975,5500,197,56,-0.3532410162812307,-0.0002476819989496356,0
271,Horeca,Lisbon,2083,5007,1563,1120,147,1550,-0.29186345514992035,-0.2593073452974364,0
272,Horeca,Lisbon,514,8323,6869,529,93,1040,-0.07505103033487177,-0.3612560683776749,2
273,Horeca,Other,36817,3045,1493,4802,210,1824,0.08797605088462848,0.7434248092950706,1
274,Horeca,Other,894,1703,1841,744,759,1153,-0.3314489770302174,-0.28289127420878274,0
275,Horeca,Other,680,1610,223,862,96,379,-0.3649894710298011,-0.2415156139862779,0
276,Horeca,Other,27901,3749,6964,4479,603,2503,0.0023200413230925194,0.5687935392483449,1
277,Horeca,Other,9061,829,683,16919,621,139,0.21012588820810738,0.40133163059365135,1
278,Horeca,Other,11693,2317,2543,5845,274,1409,-0.3087662004369275,0.18282713006551385,3
279,Retail,Other,17360,6200,9694,1293,3620,1721,0.08769572443434583,-0.01057692636542069,2
280,Horeca,Other,3366,2884,2431,977,167,1104,-0.35060869111996634,-0.24372613669287232,0
281,Retail,Other,12238,7108,6235,1093,2328,2079,-0.05739476711404848,-0.12375528535901488,0
282,Horeca,Other,49063,3965,4252,5970,1041,1404,0.3100757868144599,0.70903900979213,1
283,Horeca,Other,25767,3613,2013,10303,314,1384,0.04305287994316263,0.6381260066603719,1
284,Horeca,Other,68951,4411,12609,8692,751,2406,0.41581643774823907,0.41934271639885196,1
285,Horeca,Other,40254,640,3600,1042,436,18,0.12254054305859192,0.6534871681387456,1
286,Horeca,Other,7149,2247,1242,1619,1226,128,-0.379186828938899,-0.15095520233777987,0
287,Horeca,Other,15354,2102,2828,8366,386,1027,-0.18366779502095673,0.38315128280789806,3
288,Horeca,Other,16260,594,1296,848,445,258,-0.367721690853089,0.1375746402549971,3
289,Horeca,Other,42786,286,471,1388,32,22,0.15619673224980662,0.6652264783225921,1
